series_id        ,Index type,Seasonal adjustment status,Periodicity,Area code,Item code
CUSR0000SA0      ,CU,S,R,0,SA0      
CUSR0000SA0E     ,CU,S,R,0,SA0E     
CUSR0000SA0L1    ,CU,S,R,0,SA0L1    
CUSR0000SA0L12   ,CU,S,R,0,SA0L12   
CUSR0000SA0L12E  ,CU,S,R,0,SA0L12E  
CUSR0000SA0L12E4 ,CU,S,R,0,SA0L12E4 
CUSR0000SA0L1E   ,CU,S,R,0,SA0L1E   
CUSR0000SA0L2    ,CU,S,R,0,SA0L2    
CUSR0000SA0L5    ,CU,S,R,0,SA0L5    
CUSR0000SA0LE    ,CU,S,R,0,SA0LE    
CUSR0000SA311    ,CU,S,R,0,SA311    
CUSR0000SAA      ,CU,S,R,0,SAA      
CUSR0000SAA1     ,CU,S,R,0,SAA1     
CUSR0000SAA2     ,CU,S,R,0,SAA2     
CUSR0000SAC      ,CU,S,R,0,SAC      
CUSR0000SACE     ,CU,S,R,0,SACE     
CUSR0000SACL1    ,CU,S,R,0,SACL1    
CUSR0000SACL11   ,CU,S,R,0,SACL11   
CUSR0000SACL1E   ,CU,S,R,0,SACL1E   
CUSR0000SACL1E4  ,CU,S,R,0,SACL1E4  
CUSR0000SAD      ,CU,S,R,0,SAD      
CUSR0000SAE      ,CU,S,R,0,SAE      
CUSR0000SAE1     ,CU,S,R,0,SAE1     
CUSR0000SAE2     ,CU,S,R,0,SAE2     
CUSR0000SAE21    ,CU,S,R,0,SAE21    
CUSR0000SAEC     ,CU,S,R,0,SAEC     
CUSR0000SAES     ,CU,S,R,0,SAES     
CUSR0000SAF      ,CU,S,R,0,SAF      
CUSR0000SAF1     ,CU,S,R,0,SAF1     
CUSR0000SAF11    ,CU,S,R,0,SAF11    
CUSR0000SAF111   ,CU,S,R,0,SAF111   
CUSR0000SAF112   ,CU,S,R,0,SAF112   
CUSR0000SAF1121  ,CU,S,R,0,SAF1121  
CUSR0000SAF11211 ,CU,S,R,0,SAF11211 
CUSR0000SAF113   ,CU,S,R,0,SAF113   
CUSR0000SAF1131  ,CU,S,R,0,SAF1131  
CUSR0000SAF114   ,CU,S,R,0,SAF114   
CUSR0000SAF115   ,CU,S,R,0,SAF115   
CUSR0000SAF116   ,CU,S,R,0,SAF116   
CUSR0000SAG      ,CU,S,R,0,SAG      
CUSR0000SAG1     ,CU,S,R,0,SAG1     
CUSR0000SAGC     ,CU,S,R,0,SAGC     
CUSR0000SAH      ,CU,S,R,0,SAH      
CUSR0000SAH1     ,CU,S,R,0,SAH1     
CUSR0000SAH2     ,CU,S,R,0,SAH2     
CUSR0000SAH21    ,CU,S,R,0,SAH21    
CUSR0000SAH3     ,CU,S,R,0,SAH3     
CUSR0000SAH31    ,CU,S,R,0,SAH31    
CUSR0000SAM      ,CU,S,R,0,SAM      
CUSR0000SAM1     ,CU,S,R,0,SAM1     
